genename,F1,F2,F3,F4,F5,F6,F7,S1,S2,S3,S4,S5,S6,S7,Space
washc4,3.895874161,0,0.492292968,1.115190024,1.213072499,0,9.088747168,3.302879437,2.388062777,2.948045468,3.7685227,2.443765803,2.97492179,3.542362315,0
gprin1,0.992170043,1.505364984,1.103677367,0.936544714,0.625721071,0.204582315,1.461940916,0.842694453,1.225573707,2.061011114,1.094318707,0.855079265,0.661667234,1.016470468,0
cryzl2,0.354153537,0.860524219,0.466628304,0.293194458,0.788652685,0.201348624,0.530344979,0.704068715,1.063892778,0.785337382,0.873271789,0.750247911,0.846803178,0.80100576,0
sec31a,0.235280579,0.700768824,0.830337875,0.610081767,0.094567252,0.119527744,0.451053121,2.542377002,2.87101617,2.939866021,3.225056576,2.508126307,2.373771834,2.736676728,0
acsf3,0.621766444,0.489065449,0.6020752,0.364089652,0.983886994,0.297655088,0.464289745,0.399497565,0.945265878,0.673046815,0.663305031,0.619237573,0.503706146,0.685263257,0
plcl1,0.560685687,0.678069077,0.425507918,0.295790426,0.341260898,0.306031008,0.165037863,0.95859542,0.828833789,0.903509315,1.081191579,0.885608719,0.980215081,0.980549597,0
gdap1l1,0.970476691,2.258239447,1.98652949,1.775832375,1.020222787,0.846309402,0.874158202,1.227146943,1.468523636,1.575715235,1.786020305,1.353937031,1.201444474,1.497412043,0
tbc1d24,0.78132398,1.284382739,0.814247158,0.842292433,1.210788338,0.607612478,0.461884765,2.350797488,1.475297389,1.932795279,1.71961266,1.50416968,1.44908582,2.102929961,0
them4,1.764459358,1.099165928,1.238941424,0.797423775,4.482960374,2.629197955,0.484409387,1.111202368,2.344262339,2.229098506,1.695974389,1.680159995,1.957859664,1.83223603,0
krt76,9.579707739,4.660964768,3.778084122,4.679436199,5.558498416,1.862444587,0.695924084,1.43563871,0.634441842,0.755606449,0.320145678,1.951775658,4.86694724,1.050430539,0
vps51,1.758788993,1.183140892,1.917010156,1.176810404,0.653174396,0.949459261,0.886624301,3.042477568,1.991369668,2.393244341,2.776337975,3.663921892,3.427699795,3.518018214,0
mpst,3.206232707,1.62605858,1.263868652,1.307248719,1.10123713,0.867903976,0,2.297634614,4.060299038,3.662406437,3.9187105,2.704409536,3.208921202,3.052595259,0
mog,26.07569183,63.38004515,45.14422093,49.08860429,19.79462774,18.82256278,5.377216956,0.371430231,1.118881577,1.267382407,0.437853052,0.832613399,0.508785512,0.44833934,0
ppm1h,0.394311182,0.429990839,0.44257006,0.406004806,0.313648284,0.338866169,1.635047527,1.020657861,1.282248117,1.451323197,1.308838958,1.676072037,1.282610569,1.406099588,0
ncbp1,0.402938789,0.80184338,0.93416507,0.471305114,0,0.392593018,0.134942004,0.310270269,0.188647196,0.300968459,0.299470859,0.344098312,0.308745697,0.306115242,0
pls1,0.011015784,0.134664524,0.307768601,0.213702163,0.161038319,0.031405442,0,0.285657945,0.318759953,0.279784871,0.290393008,0.373971004,0.348858165,0.244732309,0
slc12a6,1.97224273,0.644748157,1.157473981,1.523790056,0.950596895,0.789829018,0.516098923,0,0.257827154,0.127460696,0.088759666,0.144730875,0.143259587,0.108611661,0
acly,0.591600262,0.703934544,0.823974555,0.645130539,0.732767357,0.658957407,0.79271696,3.868617573,4.139578432,4.360785796,4.419521801,3.980129731,4.09536992,4.028312324,0
osbpl1a,0.184047775,0.262800524,0.935675449,0.637608986,0.444467009,0.168814519,0,2.830534015,2.465445417,2.073452737,2.523827378,3.10059461,3.19985401,3.060377469,0
rps4l,1.163160829,2.902442729,2.839504487,1.998343999,1.488472336,1.210773161,1.443099611,5.712442551,4.733249124,5.193261698,5.706085534,4.741983534,3.990867438,4.771852084,0
mthfd1l,1.350878506,1.923177191,1.962205091,1.58965688,1.188997846,0.760084573,0.894445406,1.120259459,2.745527064,2.637681145,2.530892669,1.882275671,1.642471057,1.626229172,0
